name	rating	user_ratings_total	types	address	latitude	longitude
조마루감자탕	3.7	308	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 성남동 506-6	36.3459411	127.4305985
미소야 터미널점	3.7	49	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 용전동 68-16	36.3506073	127.4376532
피자스쿨	3.9	43	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 대덕구 중리동 243-26	36.3558842	127.4273239
용전한우마을	3.9	307	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 용전동 20-14	36.3548846	127.4380697
본죽대전한남대점	3.9	83	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 홍도동 78-12	36.3514681	127.4278208
조마루감자탕	3.7	99	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 대덕구 비래동 123-7	36.3550388	127.4472948
장충동왕족발 중리점	3.7	3	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 용전동 42-22	36.3557958	127.4325176
피자에땅	2.8	4	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 대덕구 송촌동 535	36.363161	127.439319
일미닭갈비파전	3.8	40	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 대덕구 오정동 223-265	36.3513292	127.4251544
델리로티 한남대점	4.3	49	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 대덕구 오정동 175-25	36.351968	127.4248766
킴스돈까스	4.4	359	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 대덕구 오정동 172-5	36.3512767	127.4213937
중국성	4.3	194	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 정동 8-5	36.3346369	127.4302655
리에또	4	30	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 대덕구 송촌동 551-5	36.3616061	127.4471242
급네치킨송촌점	3	2	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 대덕구 송촌동 504-1	36.3630867	127.4451825
처갓집양념치킨 비래점	4.4	37	"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"	대전 대덕구 비래동 18-17	36.3551629	127.4551506
본죽비래점	4	20	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 대덕구 비래동 130-18	36.3574312	127.4508703
본죽 대전송촌점	3.9	37	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 대덕구 송촌동 445-1	36.367487	127.4375944
춘천고려닭갈비	3.3	3	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 대덕구 송촌동 457-9	36.3649111	127.4384028
섬마을갯벌낙지수제비송촌점	2.5	2	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 대덕구 송촌동 473-2	36.3639946	127.4389027
59피자	4	2	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 대덕구 송촌동 449-6	36.3657999	127.436764
교촌치킨 송촌1호점	3.6	85	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 대덕구 송촌동 454-4	36.3652243	127.4377993
멕시카나 선비마을점	4	8	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 대덕구 송촌동 455-8	36.3641334	127.4377084
러빙헛 송촌점	4	60	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 대덕구 중리동 493-6	36.3645182	127.4363881
페리카나치킨	4	2	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 대덕구 송촌동 222-12	36.3569373	127.4437654
행복한게장	3.1	11	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 대덕구 중리동 500-7	36.362863	127.435998
은골할먼네	4.1	48	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 마산동 94-1	36.3861179	127.4970601
더리스	4.1	1500	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 마산동 439-9	36.3861	127.4841
시골집	5	2	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 마산동 487-1	36.3870203	127.4803704
대청호 토담골	4	1	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 마산동 487-3	36.3868524	127.480709
토담골식당(추동)	4.5	87	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 마산동 487-3	36.3868524	127.480709
할먼네집	4.2	33	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 마산동 487-3	36.3868537	127.4807037
큰뫼골	4.4	156	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 마산동 488	36.3866823	127.480494
들마루식당	4.2	192	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 마산동 556-6	36.3826319	127.4781207
노을	3.6	7	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 마산동 556-3	36.3825213	127.4782156
약수터식당	2	1	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 추동 산 7-15	36.381632	127.4771486
메리골드 Marigold	3.7	61	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 추동 228-1	36.378837	127.478669
냉천골할매집식당	4	12	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 직동 532-8	36.415722	127.4907242
마실	5	1	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 대덕구 이현동 142	36.4125832	127.4672224
가래울	4.2	213	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 추동 484-28	36.3756883	127.474899
팡시온	4.1	2039	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 신촌동 362-5	36.3778179	127.5040726
천개동농장	4	274	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 효평동 570-16	36.3852146	127.4577615
킴스힐	3.3	21	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 추동 327-1	36.3734795	127.4750028
라끄블루	4.1	318	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 신하동 67	36.3752778	127.5036111
혜성	3.4	9	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 중구 석교동 58-11	36.3102234	127.443376
청정임실치즈피자	4	1	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 효동 132-5	36.3161948	127.4412372
태풍거식당	4	68	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 중구 석교동 65-19	36.3081556	127.4442314
궁맛묵은지	3.8	53	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 가오동 148-4	36.308446	127.4524585
신토불이	3	3	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 중구 석교동 75-11	36.3100089	127.4435964
반찬식당	4.2	1284	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 중구 대사동 198-56	36.3121572	127.4211586
피자에땅	5	1	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 중구 석교동 83-17	36.3076387	127.446424
추풍령감자탕 대전가오점	5	1	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 가오동 673	36.3047798	127.4548195
장충동왕족발남대전점	3.7	6	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 중구 석교동 68-13	36.308584	127.4445079
피치원	2.5	2	"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"	대전 중구 석교동 102-7	36.307446	127.4466813
조마루감자탕	3.4	34	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 중구 호동 11-2	36.3057795	127.448209
미소야	3	1	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 중구 문창동 374-4	36.3130562	127.4355156
투다리	3.7	14	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 중구 부사동 151-8	36.3130562	127.4338768
처갓집양념치킨 부사점	4	17	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 중구 부사동 150-12	36.313842	127.4347463
페리카나 가오점	3.5	2	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 가오동 235-12	36.3057518	127.452653
다사랑치킨피자	4.3	41	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 가오동 528	36.3083349	127.4557082
죽이야기 대전가오점	3.2	13	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 가오동 606	36.3066407	127.4560416
페리카나옥계점	3.2	13	"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"	대전 중구 옥계동 49-1	36.2984472	127.4545697
또래오래 가오옥계점	4.6	5	"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"	대전 중구 옥계동 49-16	36.2977439	127.455068
아딸 가오점	3	1	"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 가오동 660	36.305613	127.4554028
뉴욕뉴욕	3.8	8	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 가오동 649	36.3058352	127.4556805
다사랑	3.3	8	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 판암동 340-3	36.3164017	127.4598661
BBQ치킨 대전판암점 (BSK)	4.5	4	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 판암동 841	36.3179828	127.4582619
교촌치킨 용운점	4.5	11	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 용운동 306-3	36.3278882	127.4595962
한우농장30년	3.7	196	"['restaurant', 'food', 'point_of_interest', 'establishment']"	대전 동구 판암동 490-10	36.3182465	127.4560773
본죽대동오거리점	3.8	17	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 대동 150-2	36.3289989	127.4423756
교촌치킨 자양대동점	3.2	25	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 대동 192-1	36.3308042	127.4436254
멕시카나치킨	3.4	10	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 신흥동 10-10	36.323083	127.4456532
벌집삼겹살 대전대점	4.5	2	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 용운동 307-10	36.3279159	127.4585685
피자이천일용운점	4	2	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 용운동 307-1	36.3279159	127.4572353
장충동왕족발보쌈자양점	4	6	"['restaurant', 'point_of_interest', 'food', 'establishment']"	대전 동구 자양동 51-10	36.3382479	127.448597
